"format","name","description","minting_tool","sensitive_content","series_number","series_total","attributes","collection","hash"
"CHIP-0007","Name","Description","SuperMinter/2.5.2",false,"Series Number",1000,"Attributes","{""name"":""Example Pokémon Collection"",""id"":""e43fcfe6-1d5c-4d6e-82da-5de3aa8b3b57"",""attributes"":[{""type"":""description"",""value"":""Example Pokémon Collection is the best Pokémon collection. Get yours today!""},{""type"":""icon"",""value"":""https://examplepokemoncollection.com/image/icon.png""},{""type"":""banner"",""value"":""https://examplepokemoncollection.com/image/banner.png""},{""type"":""twitter"",""value"":""ExamplePokemonCollection""},{""type"":""website"",""value"":""https://examplepokemoncollection.com/""}]}","4ea5c508a6566e76240543f8feb06fd457777be39549c4016436afda65d2330e"
"CHIP-0007","adewale the amebo","Adewale always wants to be in everyone's business.","SuperMinter/2.5.2",false,"1",1000,"","{""name"":""Example Pokémon Collection"",""id"":""e43fcfe6-1d5c-4d6e-82da-5de3aa8b3b57"",""attributes"":[{""type"":""description"",""value"":""Example Pokémon Collection is the best Pokémon collection. Get yours today!""},{""type"":""icon"",""value"":""https://examplepokemoncollection.com/image/icon.png""},{""type"":""banner"",""value"":""https://examplepokemoncollection.com/image/banner.png""},{""type"":""twitter"",""value"":""ExamplePokemonCollection""},{""type"":""website"",""value"":""https://examplepokemoncollection.com/""}]}","4ea5c508a6566e76240543f8feb06fd457777be39549c4016436afda65d2330e"
"CHIP-0007","alli the queeny","Alli is an LGBT Stan.","SuperMinter/2.5.2",false,"2",1000,"","{""name"":""Example Pokémon Collection"",""id"":""e43fcfe6-1d5c-4d6e-82da-5de3aa8b3b57"",""attributes"":[{""type"":""description"",""value"":""Example Pokémon Collection is the best Pokémon collection. Get yours today!""},{""type"":""icon"",""value"":""https://examplepokemoncollection.com/image/icon.png""},{""type"":""banner"",""value"":""https://examplepokemoncollection.com/image/banner.png""},{""type"":""twitter"",""value"":""ExamplePokemonCollection""},{""type"":""website"",""value"":""https://examplepokemoncollection.com/""}]}","4ea5c508a6566e76240543f8feb06fd457777be39549c4016436afda65d2330e"
"CHIP-0007","aminat the snnobish","Aminat never really wants to talk to anyone.","SuperMinter/2.5.2",false,"3",1000,"","{""name"":""Example Pokémon Collection"",""id"":""e43fcfe6-1d5c-4d6e-82da-5de3aa8b3b57"",""attributes"":[{""type"":""description"",""value"":""Example Pokémon Collection is the best Pokémon collection. Get yours today!""},{""type"":""icon"",""value"":""https://examplepokemoncollection.com/image/icon.png""},{""type"":""banner"",""value"":""https://examplepokemoncollection.com/image/banner.png""},{""type"":""twitter"",""value"":""ExamplePokemonCollection""},{""type"":""website"",""value"":""https://examplepokemoncollection.com/""}]}","4ea5c508a6566e76240543f8feb06fd457777be39549c4016436afda65d2330e"
"CHIP-0007","aminu the carpenter","Aminu's hands are blessed, he makes the best furniture in the whole of Kano.","SuperMinter/2.5.2",false,"4",1000,"","{""name"":""Example Pokémon Collection"",""id"":""e43fcfe6-1d5c-4d6e-82da-5de3aa8b3b57"",""attributes"":[{""type"":""description"",""value"":""Example Pokémon Collection is the best Pokémon collection. Get yours today!""},{""type"":""icon"",""value"":""https://examplepokemoncollection.com/image/icon.png""},{""type"":""banner"",""value"":""https://examplepokemoncollection.com/image/banner.png""},{""type"":""twitter"",""value"":""ExamplePokemonCollection""},{""type"":""website"",""value"":""https://examplepokemoncollection.com/""}]}","4ea5c508a6566e76240543f8feb06fd457777be39549c4016436afda65d2330e"
"CHIP-0007","chibuike the kudibag","Chibuike is too rich. Everyone wonders how he got it.","SuperMinter/2.5.2",false,"5",1000,"","{""name"":""Example Pokémon Collection"",""id"":""e43fcfe6-1d5c-4d6e-82da-5de3aa8b3b57"",""attributes"":[{""type"":""description"",""value"":""Example Pokémon Collection is the best Pokémon collection. Get yours today!""},{""type"":""icon"",""value"":""https://examplepokemoncollection.com/image/icon.png""},{""type"":""banner"",""value"":""https://examplepokemoncollection.com/image/banner.png""},{""type"":""twitter"",""value"":""ExamplePokemonCollection""},{""type"":""website"",""value"":""https://examplepokemoncollection.com/""}]}","4ea5c508a6566e76240543f8feb06fd457777be39549c4016436afda65d2330e"
"CHIP-0007","chidinma the model","From Paris' runways, to London's streets, she's always in demand.","SuperMinter/2.5.2",false,"6",1000,"","{""name"":""Example Pokémon Collection"",""id"":""e43fcfe6-1d5c-4d6e-82da-5de3aa8b3b57"",""attributes"":[{""type"":""description"",""value"":""Example Pokémon Collection is the best Pokémon collection. Get yours today!""},{""type"":""icon"",""value"":""https://examplepokemoncollection.com/image/icon.png""},{""type"":""banner"",""value"":""https://examplepokemoncollection.com/image/banner.png""},{""type"":""twitter"",""value"":""ExamplePokemonCollection""},{""type"":""website"",""value"":""https://examplepokemoncollection.com/""}]}","4ea5c508a6566e76240543f8feb06fd457777be39549c4016436afda65d2330e"
"CHIP-0007","chioma pretty girl","Chioma's face card is a 100.","SuperMinter/2.5.2",false,"7",1000,"","{""name"":""Example Pokémon Collection"",""id"":""e43fcfe6-1d5c-4d6e-82da-5de3aa8b3b57"",""attributes"":[{""type"":""description"",""value"":""Example Pokémon Collection is the best Pokémon collection. Get yours today!""},{""type"":""icon"",""value"":""https://examplepokemoncollection.com/image/icon.png""},{""type"":""banner"",""value"":""https://examplepokemoncollection.com/image/banner.png""},{""type"":""twitter"",""value"":""ExamplePokemonCollection""},{""type"":""website"",""value"":""https://examplepokemoncollection.com/""}]}","4ea5c508a6566e76240543f8feb06fd457777be39549c4016436afda65d2330e"
"CHIP-0007","damilare the handsome","He's a fine boy. Everyone loves his face(and him).","SuperMinter/2.5.2",false,"8",1000,"","{""name"":""Example Pokémon Collection"",""id"":""e43fcfe6-1d5c-4d6e-82da-5de3aa8b3b57"",""attributes"":[{""type"":""description"",""value"":""Example Pokémon Collection is the best Pokémon collection. Get yours today!""},{""type"":""icon"",""value"":""https://examplepokemoncollection.com/image/icon.png""},{""type"":""banner"",""value"":""https://examplepokemoncollection.com/image/banner.png""},{""type"":""twitter"",""value"":""ExamplePokemonCollection""},{""type"":""website"",""value"":""https://examplepokemoncollection.com/""}]}","4ea5c508a6566e76240543f8feb06fd457777be39549c4016436afda65d2330e"
"CHIP-0007","ebiowie the planter","Ebiowei has a reputation for nurturing plants.","SuperMinter/2.5.2",false,"9",1000,"","{""name"":""Example Pokémon Collection"",""id"":""e43fcfe6-1d5c-4d6e-82da-5de3aa8b3b57"",""attributes"":[{""type"":""description"",""value"":""Example Pokémon Collection is the best Pokémon collection. Get yours today!""},{""type"":""icon"",""value"":""https://examplepokemoncollection.com/image/icon.png""},{""type"":""banner"",""value"":""https://examplepokemoncollection.com/image/banner.png""},{""type"":""twitter"",""value"":""ExamplePokemonCollection""},{""type"":""website"",""value"":""https://examplepokemoncollection.com/""}]}","4ea5c508a6566e76240543f8feb06fd457777be39549c4016436afda65d2330e"
